#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
231,veterinary doctor course how many years,pk,,,,,,,,60,,,2022-02-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
232,a doctor who treats animal,pk,,,,,,,,30,,,2026-04-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0",1,
233,is veterinary doctor a gazetted officer,pk,,,,,,,,150,,,2023-04-19,,,"0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
234,veterinary doctor admission 2021,pk,,,,,,,,,,,2021-07-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
235,veterinary doctor salary in uae per month,pk,,,,,,,,,,,2021-04-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
236,veterinary doctor course details,pk,,,,,,,,150,,,2016-03-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0",1,
237,how to become animal doctor in pakistan,pk,,,,,,,,,,,2016-01-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
238,veterinary doctor mean,pk,,,,,,,,10,,,2021-10-13,,,"3, 7, 8, 8, 4, 5, 3, 2, 2, 4, 4, 6, 2, 5, 1, 0, 0, 0, 1, 2, 1, 2, 6, 1",4,
239,veterinary doctor symbol,pk,,,,,,,,50,,,2020-01-16,,,"0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
240,nearest veterinary doctor near me,pk,,,,,,,,10,,,2025-06-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0",1,
241,veterinary cow doctor near me,pk,,,,,,,,10,,,2022-07-07,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0",1,
242,animal doctor known as,pk,,,,,,,,20,,,2021-10-03,,,"4, 0, 1, 3, 1, 5, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 1, 6, 3, 2, 1",3,
243,toll free number of animal doctor,pk,,,,,,,,10,,,2023-09-29,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0",1,
244,dr umar khan veterinary doctor,pk,,,,,,,,,,,2022-12-03,,,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
245,what to do for veterinary doctor,pk,,,,,,,,20,,,2022-09-26,,,"1, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0",2,
246,petsmall.pk & pets clinic lahore,pk,,,,,,,,,,,2021-10-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
247,doctor of veterinary medicine dvm degree salary,pk,,,,,,,,,,,2020-02-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
248,veterinary doctor for dogs near me,pk,,,,,,,,10,,,2022-12-07,,,"0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0",2,
249,what we call animal doctor in english,pk,,,,,,,,,,,2024-01-12,,,"0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4, 1, 0",3,
250,where there is no animal doctor,pk,,,,,,,,,,,2022-02-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
251,pakistani veterinary doctor,pk,,,,,,,,,,,2016-03-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
252,veterinary doctor salary in germany,pk,,,,,,,,30,,,2021-03-10,,,"0, 1, 2, 4, 4, 8, 2, 3, 3, 2, 12, 6, 0, 5, 4, 2, 4, 4, 2, 0, 2, 1, 1, 0",2,
253,veterinary doctor full form,pk,,,,,,,,10,,,2024-09-08,,,"3, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0",2,
254,veterinary doctor government near me,pk,,,,,,,,10,,,2024-10-05,,,"0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 1, 0, 0",2,
255,veterinary doctor in gujranwala,pk,,,,,,,,,,,2016-11-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
256,course for veterinary doctor,pk,,,,,,,,40,,,2021-03-20,,,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0",2,
257,veterinary doctor symbol in india,pk,,,,,,,,10,,,2023-03-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
258,animal ka doctor,pk,,,,,,,,10,,,2025-01-15,,,"0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0",2,
259,veterinary doctor how to become,pk,,,,,,,,60,,,2023-07-15,,,"1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
260,birthday cake for veterinary doctor,pk,,,,,,,,10,,,2021-08-01,,,"1, 0, 3, 5, 0, 0, 3, 0, 2, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0",1,
261,indian veterinary doctor logo,pk,,,,,,,,,,,2016-11-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
262,veterinary doctor for goats,pk,,,,,,,,,,,2020-09-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0",1,
263,veterinary doctor course duration,pk,,,,,,,,200,,,2021-07-30,,,"0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 0, 3, 2, 1, 3, 5, 6, 4, 0",4,
264,doctor dizzy animal,pk,,,,,,,,,,,2023-06-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
265,doctor class animal hospital,pk,,,,,,,,70,,,2026-06-29,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 2",5,
266,veterinary doctor for cow near me,pk,,,,,,,,10,,,2022-05-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 0, 0, 0",1,
267,veterinary doctor faisalabad,pk,,,,,,,,,,,2025-06-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 4, 0, 0, 0, 1, 1, 1, 0, 0, 3, 5, 1, 0",3,
268,veterinary doctor edits,pk,,,,,,,,10,,,2025-10-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
269,pay of veterinary doctor,pk,,,,,,,,10,,,2025-03-13,,,"0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 1, 0, 3, 0, 0, 0, 0",1,
270,best veterinary doctor in lucknow,pk,,,,,,,,10,,,2021-11-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
271,animal doctor newport center vt,pk,,,,,,,,50,,,2021-06-17,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
272,veterinary doctor starting salary,pk,,,,,,,,10,,,2020-07-07,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0",1,
273,abid pets clinic (dha branch) lahore,pk,,,,,,,,,,,2022-08-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
274,veterinary doctor helpline number 24 hours,pk,,,,,,,,20,,,2025-01-25,,,"0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 3, 3, 4, 4, 5, 3, 1, 0, 7, 0, 0, 0",1,
275,who is veterinary doctor,pk,,,,,,,,80,,,2021-01-08,,,"23, 7, 13, 6, 14, 8, 9, 14, 5, 7, 6, 15, 1, 4, 2, 6, 4, 3, 4, 6, 3, 7, 2, 8",7,
276,animal doctor diploma course,pk,,,,,,,,20,,,2020-09-14,,,"0, 3, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1, 3, 0, 2, 4, 0, 0, 0, 0, 4, 0",2,
277,veterinary doctor salary in uk per month,pk,,,,,,,,20,,,2023-04-01,,,"1, 3, 5, 1, 2, 3, 1, 6, 6, 5, 7, 2, 5, 0, 0, 0, 1, 3, 2, 5, 2, 2, 3, 2",3,
278,pet pals animal doctor,pk,,,,,,,,20,,,2020-04-13,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
279,course for animal doctor,pk,,,,,,,,20,,,2021-04-08,,,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0",1,
280,role of veterinary doctor,pk,,,,,,,,,,,2021-10-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
281,what is the name of the animal doctor,pk,,,,,,,,,,,2021-02-21,,,"6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2",2,
282,doctor pets clinic lahore,pk,,,,,,,,,,,2026-07-12,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0",5,
283,veterinary doctor cover letter,pk,,,,,,,,,,,2021-08-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
284,veterinary doctor helpline,pk,,,,,,,,30,,,2020-05-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 6, 1, 1, 1, 0, 2, 2, 1, 6, 6, 3, 4, 0",3,
285,what is animal doctor called in english,pk,,,,,,,,10,,,2025-01-01,,,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 3, 3, 3, 0, 3, 0",2,
286,veterinary doctor course fees in private college,pk,,,,,,,,100,,,2022-03-30,,,"3, 4, 6, 0, 2, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0",1,
287,animal doctor ka number,pk,,,,,,,,,,,2025-06-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0",1,
288,veterinary doctor around me,pk,,,,,,,,10,,,2024-08-18,,,"0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
289,what do you call an animal doctor,pk,,,,,,,,60,,,2016-03-16,,,"3, 0, 2, 3, 0, 2, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1, 3, 6",4,
290,doctor of veterinary medicine logo,pk,,,,,,,,10,,,2018-09-25,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
291,veterinary doctor near me within 1.6 km,pk,,,,,,,,20,,,2024-08-09,,,"9, 1, 0, 8, 4, 2, 10, 9, 4, 3, 0, 1, 0, 2, 5, 2, 0, 3, 0, 1, 0, 0, 0, 0",1,
292,large animal veterinary doctor visiting card,pk,,,,,,,,50,,,2020-07-05,,,"0, 1, 0, 1, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 4, 5, 3, 3, 6, 2, 0, 2, 0, 8",4,
293,essay on veterinary doctor,pk,,,,,,,,10,,,2020-12-14,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
294,doctor for animal,pk,,,,,,,,40,,,2017-06-25,,,"0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0",1,
295,what call animal doctor,pk,,,,,,,,10,,,2016-03-27,,,"1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0",2,
296,veterinary doctor jobs in australia,pk,,,0.15,,,,,20,,,2016-01-29,,,"4, 3, 5, 3, 3, 5, 2, 1, 0, 2, 2, 1, 2, 0, 0, 0, 1, 0, 2, 2, 1, 2, 3, 1",3,
297,how to make animal doctor,pk,,,,,,,,,,,2021-07-26,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
298,courses for veterinary doctor,pk,,,,,,,,20,,,2021-08-29,,,"0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0",2,
299,veterinary doctor picture,pk,,,,,,,,40,,,2018-03-07,,,"0, 0, 1, 0, 1, 4, 6, 4, 3, 3, 1, 0, 2, 8, 3, 6, 3, 1, 1, 3, 3, 1, 5, 3",4,
300,veterinary doctor jobs in canada,pk,,,0.40,,,,,20,,,2020-02-29,,,"9, 10, 5, 1, 2, 0, 0, 1, 5, 0, 0, 0, 1, 2, 1, 0, 0, 2, 2, 0, 3, 1, 1, 0",2,
301,veterinary doctor govt job,pk,,,,,,,,,,,2021-08-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
302,test for veterinary doctor,pk,,,,,,,,10,,,2021-05-24,,,"0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
303,veterinary doctor course in canada,pk,,,,,,,,10,,,2020-05-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
304,vet in dha lahore,pk,,,,,,,,,,,2017-12-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
305,salary of govt veterinary doctor in india,pk,,,,,,,,10,,,2021-03-01,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
306,veterinary doctor bhopal,pk,,,,,,,,10,,,2021-04-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
307,dvm (doctor of veterinary medicine),pk,,,,,,,,,,,2018-10-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0",1,
308,best country for veterinary doctor,pk,,,,,,,,30,,,2022-01-08,,,"4, 1, 1, 2, 2, 0, 0, 3, 1, 5, 5, 4, 4, 3, 3, 3, 3, 2, 5, 3, 1, 2, 3, 7",5,
309,pets care clinic lahore,pk,,,,,,,,,,,2022-02-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
310,doctor of veterinary medicine schools,pk,,,,,,,,50,,,2020-08-22,,,"1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",2,
311,veterinary doctor complaint number,pk,,,,,,,,20,,,2021-03-12,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1",1,
312,wallpaper veterinary doctor logo,pk,,,,,,,,10,,,2023-11-12,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",1,
313,what we say to animal doctor,pk,,,,,,,,10,,,2022-01-16,,,"2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 2, 0",2,
314,veterinary doctor how many years,pk,,,,,,,,70,,,2020-12-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0",1,
315,animal doctor florence sc,pk,,,,,,,,10,,,2023-04-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
316,animal doctor salary per month,pk,,,,,,,,30,,,2020-03-15,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 1, 0, 2, 1, 0, 1, 3, 1, 1, 2, 1",2,
317,rabbit veterinary doctor near me,pk,,,,,,,,50,,,2025-04-09,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0",1,
318,qualification for veterinary doctor,pk,,,,,,,,90,,,2016-06-12,,,"1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 2, 1, 0, 2, 3, 1, 1, 0, 1, 1, 0, 0, 0, 0",1,
319,cv for veterinary doctor,pk,,,,,,,,30,,,2022-05-23,,,"2, 0, 0, 0, 5, 1, 3, 4, 0, 0, 0, 0, 4, 1, 2, 2, 3, 1, 0, 7, 5, 5, 9, 12",9,
320,veterinary doctor after 10th,pk,,,,,,,,10,,,2022-09-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
321,animal doctor hernando,pk,,,,,,,,40,,,2024-10-17,,,"0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
322,al rehman veterinary clinic lahore,pk,,,,,,,,,,,2026-02-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 5, 0, 0, 0, 0",1,
323,what colleges offer doctor of veterinary medicine,pk,,,,,,,,,,,2024-04-12,,,"1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
324,abdullah pets clinic lahore,pk,,,,,,,,,,,2024-09-01,,,"6, 5, 0, 3, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
325,government animal doctor salary,pk,,,,,,,,10,,,2023-06-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",1,
326,small animal hospital lahore,pk,,,,,,,,,,,2016-04-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
327,veterinary doctor qualifications,pk,,,,,,,,10,,,2022-10-25,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0",1,
328,doctor smith wants to know how many veterinary students,pk,,,,,,,,,,,2021-09-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
329,doctor of veterinary medicine murdoch,pk,,,,,,,,,,,2023-04-03,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0",1,
330,animal doctor number near me,pk,,,,,,,,10,,,2020-05-06,,,"1, 2, 0, 4, 2, 1, 0, 2, 4, 3, 5, 3, 2, 0, 7, 2, 3, 0, 0, 7, 4, 1, 0, 0",1,
331,veterinary doctor in wah cantt,pk,,,,,,,,,,,2017-07-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
332,xxx animal doctor,pk,,,,,,,,,,,2023-09-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
333,veterinary doctor near me government,pk,,,,,,,,30,,,2021-03-23,,,"0, 1, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 4, 3, 2, 0",3,
334,animal doctor name pronunciation,pk,,,,,,,,,,,2021-08-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
335,latest veterinary doctor jobs uae,pk,,,,,,,,,,,2020-01-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
336,about veterinary doctor,pk,,,,,,,,50,,,2016-04-20,,,"2, 0, 2, 0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0",2,
337,furry friends pets clinic lahore,pk,,,,,,,,,,,2024-09-30,,,"3, 111, 45, 108, 43, 30, 27, 40, 42, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
338,animal doctor short form,pk,,,,,,,,10,,,2025-10-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 1, 5, 0, 5, 0",3,
339,veterinary doctor private college fees,pk,,,,,,,,80,,,2022-07-09,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0",1,
340,doctor of veterinary medicine salary in pakistan,pk,,,,,,,,,,,2015-11-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
341,animal doctor brooklyn,pk,,,,,,,,50,,,2022-10-29,,,"0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
342,salary for veterinary doctor in abroad,pk,,,,,,,,,,,2022-09-29,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
343,how to become a veterinary doctor in pakistan,pk,,,,,,,,,,,2016-02-12,,,"12, 6, 0, 0, 0, 0, 0, 2, 2, 2, 6, 5, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 2, 0",2,
344,government veterinary doctor salary,pk,,,,,,,,40,,,2023-04-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
345,veterinary doctor delhi,pk,,,,,,,,30,,,2020-10-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0",1,
346,veterinary doctor merit list 2021,pk,,,,,,,,,,,2022-06-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
347,animal doctor near me government,pk,,,,,,,,10,,,2022-12-14,,,"0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 4, 0, 0",2,
348,animal doctor picture,pk,,,,,,,,10,,,2020-12-18,,,"0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
349,veterinary doctor online consultation india,pk,,,,,,,,,,,2021-09-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
350,animal doctor meaning in english,pk,,,,,,,,,,,2021-01-21,,,"1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 4, 0, 1, 1, 0, 0, 1, 3, 2, 3, 0, 0, 0, 0",1,
351,doctor of veterinary medicine colleges,pk,,,,,,,,30,,,2024-01-07,,,"0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
352,veterinary doctor bike,pk,,,,,,,,10,,,2025-07-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 12, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0",1,
353,doctor of animal is known as,pk,,,,,,,,,,,2023-12-25,,,"4, 0, 3, 1, 4, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
354,best gift for veterinary doctor,pk,,,,,,,,20,,,2025-01-09,,,"0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
